time [d],date,hour,Snow Refreeze[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Precipitation[mm],Canopy Evaporation[mm],Canopy Snow Evaporation[mm],Snow Melt & Refreeze[mm],Overflow[mm],Infiltration[mm],Infiltration[mm],Flush[mm],Soil Evaporation[mm],Capillary Rise[mm],Soil Evaporation[mm],Percolation[mm],Baseflow[mm],Baseflow[mm]
,,from:,SNOW_LIQ,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,ATMOS_PRECIP,CANOPY,CANOPY_SNOW,SNOW,SNOW_LIQ,PONDED_WATER,PONDED_WATER,SURFACE_WATER,SOIL[0],SOIL[1],SOIL[0],SOIL[1],SOIL[1],SOIL[2]
,,to:,SNOW,SURFACE_WATER,ATMOSPHERE,ATMOS_PRECIP,PONDED_WATER,SOIL[0],SOIL[1],SOIL[2],SNOW_LIQ,SNOW,CANOPY,CANOPY_SNOW,ATMOSPHERE,ATMOSPHERE,PONDED_WATER,PONDED_WATER,SOIL[0],SURFACE_WATER,SOIL[1],ATMOSPHERE,SOIL[0],ATMOSPHERE,SOIL[2],SURFACE_WATER,SURFACE_WATER
588,2004-05-11,00:00:00.00,7.7745,0,0,0,925.062,0,0,0,14.3526,217.032,6.08413,0.0930526,6.08413,0.0930526,224.807,6.57806,695.436,461.011,461.011,443.8,94.079,350.967,175.077,198.855,175.759
589,2004-05-12,00:00:00.00,7.7745,0,0,0,925.19,0,0,0,14.3526,217.032,6.08533,0.0930526,6.08533,0.0930526,224.807,6.57806,695.521,461.054,461.054,447.873,95.1633,352.767,176.181,198.9,176.217
590,2004-05-13,00:00:00.00,7.7745,0,0,0,925.19,0,0,0,14.3526,217.032,6.08533,0.0930526,6.08533,0.0930526,224.807,6.57806,695.521,461.054,461.054,447.917,95.8599,353.463,176.273,198.901,176.66
591,2004-05-14,00:00:00.00,7.7745,0,0,0,931.054,0,0,0,14.3526,217.032,6.13383,0.0930526,6.13383,0.0930526,224.807,6.57806,701.33,461.109,461.109,452.587,95.8734,354.616,176.291,198.907,177.084
592,2004-05-15,00:00:00.00,7.7745,0,0,0,940.183,0,0,0,14.3526,217.032,6.21577,0.0930526,6.21577,0.0930526,224.807,6.57806,710.336,461.232,461.232,456.447,95.8869,357.98,176.308,198.951,177.49
593,2004-05-16,00:00:00.00,7.7745,0,0,0,940.565,0,0,0,14.3526,217.032,6.21937,0.0930526,6.21937,0.0930526,224.807,6.57806,710.642,461.309,461.309,457.554,95.9698,358.502,176.326,198.961,177.878
594,2004-05-17,00:00:00.00,7.7745,0,0,0,940.565,0,0,0,14.3526,217.032,6.21937,0.0930526,6.21937,0.0930526,224.807,6.57806,710.642,461.309,461.309,457.981,95.9833,358.626,176.343,198.963,178.251
595,2004-05-18,00:00:00.00,7.7745,0,0,0,940.565,0,0,0,14.3526,217.032,6.21937,0.0930526,6.21937,0.0930526,224.807,6.57806,710.642,461.309,461.309,457.999,95.9968,358.639,176.349,198.963,178.607
596,2004-05-19,00:00:00.00,7.7745,0,0,0,940.787,0,0,0,14.3526,217.032,6.22103,0.0930526,6.22103,0.0930526,224.807,6.57806,710.863,461.309,461.309,458.179,95.9968,358.672,176.349,198.963,178.948
597,2004-05-20,00:00:00.00,7.7745,0,0,0,940.914,0,0,0,14.3526,217.032,6.22223,0.0930526,6.22223,0.0930526,224.807,6.57806,710.988,461.311,461.311,458.302,95.9992,358.684,176.349,198.963,179.273
598,2004-05-21,00:00:00.00,7.7745,0,0,0,940.948,0,0,0,14.3526,217.032,6.22258,0.0930526,6.22258,0.0930526,224.807,6.57806,711.022,461.311,461.311,458.337,95.9992,358.684,176.349,198.963,179.585
599,2004-05-22,00:00:00.00,7.7745,0,0,0,942.139,0,0,0,14.3526,217.032,6.23163,0.0930526,6.23163,0.0930526,224.807,6.57806,712.21,461.313,461.313,459.35,96.0016,358.834,176.349,198.963,179.882
600,2004-05-23,00:00:00.00,7.7745,0,0,0,966.68,0,0,0,14.3526,217.032,6.44412,0.0930526,6.44412,0.0930526,224.807,6.57806,735.607,462.457,462.457,462.275,96.2586,361.767,176.524,199.27,180.175
601,2004-05-24,00:00:00.00,7.7745,0,0,0,989.257,0,0,0,14.3526,217.032,6.62934,0.0930526,6.62934,0.0930526,224.807,6.57806,743.099,477.542,477.542,464.626,96.6983,364.124,177.97,206.72,180.518
602,2004-05-25,00:00:00.00,7.7745,0,0,0,1000.78,0,0,0,14.3526,217.032,6.7352,0.0930526,6.7352,0.0930526,224.807,6.57806,746.773,485.393,485.393,468.273,97.1941,367.778,179.416,211.555,180.909
603,2004-05-26,00:00:00.00,7.7745,0,0,0,1001.16,0,0,0,14.3526,217.032,6.73847,0.0930526,6.73847,0.0930526,224.807,6.57806,746.904,485.641,485.641,471.079,97.8632,370.591,180.862,212.506,181.347
604,2004-05-27,00:00:00.00,7.7745,0,0,0,1001.29,0,0,0,14.3526,217.032,6.73967,0.0930526,6.73967,0.0930526,224.807,6.57806,746.967,485.706,485.706,474.414,98.693,373.934,182.308,212.677,181.829
605,2004-05-28,00:00:00.00,7.7745,0,0,0,1002.6,0,0,0,14.3526,217.032,6.7488,0.0930526,6.7488,0.0930526,224.807,6.57806,747.619,486.363,486.363,478.975,99.7136,376.624,183.616,212.691,182.348
606,2004-05-29,00:00:00.00,7.7745,0,0,0,1002.6,0,0,0,14.3526,217.032,6.7488,0.0930526,6.7488,0.0930526,224.807,6.57806,747.619,486.363,486.363,479.833,100.041,377.295,183.631,212.691,182.845
607,2004-05-30,00:00:00.00,7.7745,0,0,0,1002.6,0,0,0,14.3526,217.032,6.7488,0.0930526,6.7488,0.0930526,224.807,6.57806,747.619,486.363,486.363,480.298,100.041,377.354,183.631,212.691,183.319
608,2004-05-31,00:00:00.00,7.7745,0,0,0,1002.6,0,0,0,14.3526,217.032,6.7488,0.0930526,6.7488,0.0930526,224.807,6.57806,747.619,486.363,486.363,480.307,100.041,377.354,183.631,212.691,183.773
609,2004-06-01,00:00:00.00,7.7745,0,0,0,1008.15,0,0,0,14.3526,217.032,6.79863,0.0930526,6.79863,0.0930526,224.807,6.57806,753.096,486.443,486.443,482.162,100.055,378.882,183.649,212.697,184.207
610,2004-06-02,00:00:00.00,7.7745,0,0,0,1009.41,0,0,0,14.3526,217.032,6.81004,0.0930526,6.81004,0.0930526,224.807,6.57806,754.106,486.686,486.686,484.992,100.297,379.374,183.666,212.699,184.624
611,2004-06-03,00:00:00.00,7.7745,0,0,0,1012.75,0,0,0,14.3526,217.032,6.8398,0.0930526,6.8398,0.0930526,224.807,6.57806,757.344,486.795,486.795,487.47,100.371,380.03,183.683,212.704,185.022
612,2004-06-04,00:00:00.00,7.7745,0,0,0,1012.88,0,0,0,14.3526,217.032,6.841,0.0930526,6.841,0.0930526,224.807,6.57806,757.462,486.804,486.804,487.752,100.392,380.091,183.701,212.704,185.404
613,2004-06-05,00:00:00.00,7.7745,0,0,0,1012.88,0,0,0,14.3526,217.032,6.841,0.0930526,6.841,0.0930526,224.807,6.57806,757.462,486.804,486.804,487.763,100.4,380.099,183.701,212.704,185.769
614,2004-06-06,00:00:00.00,7.7745,0,0,0,1012.88,0,0,0,14.3526,217.032,6.841,0.0930526,6.841,0.0930526,224.807,6.57806,757.462,486.804,486.804,487.763,100.4,380.099,183.701,212.704,186.118
615,2004-06-07,00:00:00.00,7.7745,0,0,0,1012.88,0,0,0,14.3526,217.032,6.841,0.0930526,6.841,0.0930526,224.807,6.57806,757.462,486.804,486.804,487.763,100.4,380.099,183.701,212.704,186.452
616,2004-06-08,00:00:00.00,7.7745,0,0,0,1012.88,0,0,0,14.3526,217.032,6.841,0.0930526,6.841,0.0930526,224.807,6.57806,757.462,486.804,486.804,487.763,100.4,380.099,183.701,212.704,186.771
617,2004-06-09,00:00:00.00,7.7745,0,0,0,1013.5,0,0,0,14.3526,217.032,6.84534,0.0930526,6.84534,0.0930526,224.807,6.57806,758.085,486.804,486.804,488.387,100.4,380.099,183.701,212.704,187.076
618,2004-06-10,00:00:00.00,7.7745,0,0,0,1014.45,0,0,0,14.3526,217.032,6.85331,0.0930526,6.85331,0.0930526,224.807,6.57806,759.025,486.812,486.812,489.326,100.407,380.106,183.701,212.704,187.367
619,2004-06-11,00:00:00.00,7.7745,0,0,0,1016.3,0,0,0,14.3526,217.032,6.87016,0.0930526,6.87016,0.0930526,224.807,6.57806,760.842,486.841,486.841,490.727,100.421,380.432,183.716,212.704,187.647
620,2004-06-12,00:00:00.00,7.7745,0,0,0,1016.3,0,0,0,14.3526,217.032,6.87016,0.0930526,6.87016,0.0930526,224.807,6.57806,760.842,486.841,486.841,490.819,100.421,380.442,183.716,212.704,187.914
621,2004-06-13,00:00:00.00,7.7745,0,0,0,1016.3,0,0,0,14.3526,217.032,6.87016,0.0930526,6.87016,0.0930526,224.807,6.57806,760.842,486.841,486.841,490.821,100.421,380.442,183.716,212.704,188.169
622,2004-06-14,00:00:00.00,7.7745,0,0,0,1031.45,0,0,0,14.3526,217.032,6.99427,0.0930526,6.99427,0.0930526,224.807,6.57806,775.864,486.97,486.97,495.715,100.434,385.35,183.733,212.73,188.414
623,2004-06-15,00:00:00.00,7.7745,0,0,0,1047.33,0,0,0,14.3526,217.032,7.12154,0.0930526,7.12154,0.0930526,224.807,6.57806,785.314,493.397,493.397,500.487,101.232,389.669,184.267,215.167,188.671
624,2004-06-16,00:00:00.00,7.7745,0,0,0,1047.45,0,0,0,14.3526,217.032,7.12274,0.0930526,7.12274,0.0930526,224.807,6.57806,785.439,493.399,493.399,502.164,101.503,391.234,184.8,215.526,188.941
625,2004-06-17,00:00:00.00,7.7745,0,0,0,1048.24,0,0,0,14.3526,217.032,7.12915,0.0930526,7.12915,0.0930526,224.807,6.57806,785.975,493.649,493.649,504.385,101.861,393.215,185.299,215.62,189.221
626,2004-06-18,00:00:00.00,7.7745,0,0,0,1053.63,0,0,0,14.3526,217.032,7.17929,0.0930526,7.17929,0.0930526,224.807,6.57806,791.231,493.783,493.783,506.654,102.236,395.36,185.77,215.64,189.509
627,2004-06-19,00:00:00.00,7.7745,0,0,0,1053.77,0,0,0,14.3526,217.032,7.18071,0.0930526,7.18071,0.0930526,224.807,6.57806,791.355,493.795,493.795,507.832,102.333,395.723,185.788,215.644,189.785
628,2004-06-20,00:00:00.00,7.7745,0,0,0,1054.91,0,0,0,14.3526,217.032,7.19151,0.0930526,7.19151,0.0930526,224.807,6.57806,792.437,493.86,493.86,508.865,102.389,395.922,185.805,215.645,190.05
629,2004-06-21,00:00:00.00,7.7745,0,0,0,1054.91,0,0,0,14.3526,217.032,7.19151,0.0930526,7.19151,0.0930526,224.807,6.57806,792.437,493.86,493.86,508.904,102.403,395.936,185.812,215.645,190.304
630,2004-06-22,00:00:00.00,7.7745,0,0,0,1061.15,0,0,0,14.3526,217.032,7.24165,0.0930526,7.24165,0.0930526,224.807,6.57806,798.633,493.906,493.906,512.664,102.416,397.505,185.83,215.646,190.547
631,2004-06-23,00:00:00.00,7.7745,0,0,0,1061.54,0,0,0,14.3526,217.032,7.24525,0.0930526,7.24525,0.0930526,224.807,6.57806,799.002,493.919,493.919,513.622,102.435,397.742,185.838,215.646,190.78
632,2004-06-24,00:00:00.00,7.7745,0,0,0,1068.21,0,0,0,14.3526,217.032,7.29666,0.0930526,7.29666,0.0930526,224.807,6.57806,805.399,494.193,494.193,516.95,102.695,399.48,185.853,215.646,191.003
633,2004-06-25,00:00:00.00,7.7745,0,0,0,1073.72,0,0,0,14.3526,217.032,7.34643,0.0930526,7.34643,0.0930526,224.807,6.57806,810.527,494.58,494.58,521.005,103.01,402.142,185.87,215.653,191.217
634,2004-06-26,00:00:00.00,7.7745,0,0,0,1073.85,0,0,0,14.3526,217.032,7.3473,0.0930526,7.3473,0.0930526,224.807,6.57806,810.634,494.597,494.597,521.452,103.041,402.215,185.888,215.654,191.423
635,2004-06-27,00:00:00.00,7.7745,0,0,0,1073.85,0,0,0,14.3526,217.032,7.3473,0.0930526,7.3473,0.0930526,224.807,6.57806,810.634,494.597,494.597,521.458,103.054,402.227,185.888,215.654,191.619
636,2004-06-28,00:00:00.00,7.7745,0,0,0,1074.55,0,0,0,14.3526,217.032,7.35226,0.0930526,7.35226,0.0930526,224.807,6.57806,811.336,494.598,494.598,522.091,103.056,402.293,185.888,215.654,191.807
637,2004-06-29,00:00:00.00,7.7745,0,0,0,1074.68,0,0,0,14.3526,217.032,7.35355,0.0930526,7.35355,0.0930526,224.807,6.57806,811.469,494.601,494.601,522.211,103.058,402.313,185.888,215.654,191.987
638,2004-06-30,00:00:00.00,7.7745,0,0,0,1074.68,0,0,0,14.3526,217.032,7.35355,0.0930526,7.35355,0.0930526,224.807,6.57806,811.469,494.601,494.601,522.214,103.058,402.313,185.888,215.654,192.158
639,2004-07-01,00:00:00.00,7.7745,0,0,0,1074.68,0,0,0,14.3526,217.032,7.35355,0.0930526,7.35355,0.0930526,224.807,6.57806,811.469,494.601,494.601,522.214,103.058,402.313,185.888,215.654,192.322
640,2004-07-02,00:00:00.00,7.7745,0,0,0,1074.68,0,0,0,14.3526,217.032,7.35355,0.0930526,7.35355,0.0930526,224.807,6.57806,811.469,494.601,494.601,522.214,103.058,402.313,185.888,215.654,192.479
641,2004-07-03,00:00:00.00,7.7745,0,0,0,1074.68,0,0,0,14.3526,217.032,7.35355,0.0930526,7.35355,0.0930526,224.807,6.57806,811.469,494.601,494.601,522.214,103.058,402.313,185.888,215.654,192.629
642,2004-07-04,00:00:00.00,7.7745,0,0,0,1074.68,0,0,0,14.3526,217.032,7.35355,0.0930526,7.35355,0.0930526,224.807,6.57806,811.469,494.601,494.601,522.214,103.058,402.313,185.888,215.654,192.773
643,2004-07-05,00:00:00.00,7.7745,0,0,0,1079.89,0,0,0,14.3526,217.032,7.39638,0.0930526,7.39638,0.0930526,224.807,6.57806,816.634,494.646,494.646,526.519,103.072,403.186,185.906,215.655,192.911
644,2004-07-06,00:00:00.00,7.7745,0,0,0,1080.28,0,0,0,14.3526,217.032,7.39998,0.0930526,7.39998,0.0930526,224.807,6.57806,817.008,494.654,494.654,526.838,103.085,403.245,185.914,215.655,193.043
645,2004-07-07,00:00:00.00,7.7745,0,0,0,1084.83,0,0,0,14.3526,217.032,7.43204,0.0930526,7.43204,0.0930526,224.807,6.57806,821.56,494.657,494.657,528.567,103.089,404.844,185.914,215.655,193.169
646,2004-07-08,00:00:00.00,7.7745,0,0,0,1091.28,0,0,0,14.3526,217.032,7.4843,0.0930526,7.4843,0.0930526,224.807,6.57806,826.976,495.687,495.687,532.677,103.385,406.593,186.385,215.662,193.311
647,2004-07-09,00:00:00.00,7.7745,0,0,0,1091.8,0,0,0,14.3526,217.032,7.4888,0.0930526,7.4888,0.0930526,224.807,6.57806,827.437,495.745,495.745,533.539,103.692,407.14,186.391,215.662,193.446
648,2004-07-10,00:00:00.00,7.7745,0,0,0,1091.92,0,0,0,14.3526,217.032,7.49,0.0930526,7.49,0.0930526,224.807,6.57806,827.56,495.75,495.75,534.005,103.697,407.231,186.391,215.662,193.576
649,2004-07-11,00:00:00.00,7.7745,0,0,0,1091.92,0,0,0,14.3526,217.032,7.49,0.0930526,7.49,0.0930526,224.807,6.57806,827.56,495.75,495.75,534.026,103.697,407.231,186.391,215.662,193.7
650,2004-07-12,00:00:00.00,7.7745,0,0,0,1091.92,0,0,0,14.3526,217.032,7.49,0.0930526,7.49,0.0930526,224.807,6.57806,827.56,495.75,495.75,534.026,103.697,407.231,186.391,215.662,193.818
651,2004-07-13,00:00:00.00,7.7745,0,0,0,1091.92,0,0,0,14.3526,217.032,7.49,0.0930526,7.49,0.0930526,224.807,6.57806,827.56,495.75,495.75,534.026,103.697,407.231,186.391,215.662,193.931
652,2004-07-14,00:00:00.00,7.7745,0,0,0,1097.67,0,0,0,14.3526,217.032,7.53117,0.0930526,7.53117,0.0930526,224.807,6.57806,833.309,495.75,495.75,535.922,103.697,408.983,186.391,215.662,194.039
653,2004-07-15,00:00:00.00,7.7745,0,0,0,1102.38,0,0,0,14.3526,217.032,7.57182,0.0930526,7.57182,0.0930526,224.807,6.57806,837.386,496.384,496.384,539.132,104,410.6,186.695,215.664,194.156
654,2004-07-16,00:00:00.00,7.7745,0,0,0,1108.74,0,0,0,14.3526,217.032,7.62541,0.0930526,7.62541,0.0930526,224.807,6.57806,842.669,497.453,497.453,541.045,104.503,412.339,187.164,215.675,194.289
655,2004-07-17,00:00:00.00,7.7745,0,0,0,1108.99,0,0,0,14.3526,217.032,7.62781,0.0930526,7.62781,0.0930526,224.807,6.57806,842.87,497.507,497.507,544.201,104.626,413.295,187.181,215.676,194.416
656,2004-07-18,00:00:00.00,7.7745,0,0,0,1117.8,0,0,0,14.3526,217.032,7.70622,0.0930526,7.70622,0.0930526,224.807,6.57806,851.555,497.629,497.629,549.166,104.639,416.761,187.199,215.711,194.538
657,2004-07-19,00:00:00.00,7.7745,0,0,0,1123.03,0,0,0,14.3526,217.032,7.75203,0.0930526,7.75203,0.0930526,224.807,6.57806,856.466,497.952,497.952,552.858,104.908,418.216,187.216,215.747,194.656
658,2004-07-20,00:00:00.00,7.7745,0,0,0,1123.44,0,0,0,14.3526,217.032,7.75556,0.0930526,7.75556,0.0930526,224.807,6.57806,856.843,497.98,497.98,553.535,104.945,418.253,187.233,215.755,194.77
659,2004-07-21,00:00:00.00,7.7745,0,0,0,1123.57,0,0,0,14.3526,217.032,7.75677,0.0930526,7.75677,0.0930526,224.807,6.57806,856.968,497.983,497.983,553.66,104.958,418.267,187.251,215.756,194.879
660,2004-07-22,00:00:00.00,7.7745,0,0,0,1125.14,0,0,0,14.3526,217.032,7.7724,0.0930526,7.7724,0.0930526,224.807,6.57806,858.537,497.987,497.987,554.274,104.972,418.519,187.259,215.756,194.983
661,2004-07-23,00:00:00.00,7.7745,0,0,0,1132.02,0,0,0,14.3526,217.032,7.83723,0.0930526,7.83723,0.0930526,224.807,6.57806,865.286,498.117,498.117,557.653,104.985,421.913,187.277,215.782,195.084
662,2004-07-24,00:00:00.00,7.7745,0,0,0,1132.02,0,0,0,14.3526,217.032,7.83723,0.0930526,7.83723,0.0930526,224.807,6.57806,865.286,498.117,498.117,558.103,104.999,422.116,187.294,215.787,195.182
663,2004-07-25,00:00:00.00,7.7745,0,0,0,1132.02,0,0,0,14.3526,217.032,7.83723,0.0930526,7.83723,0.0930526,224.807,6.57806,865.286,498.117,498.117,558.167,105.012,422.131,187.312,215.787,195.275
664,2004-07-26,00:00:00.00,7.7745,0,0,0,1132.02,0,0,0,14.3526,217.032,7.83723,0.0930526,7.83723,0.0930526,224.807,6.57806,865.286,498.117,498.117,558.167,105.018,422.136,187.312,215.787,195.365
665,2004-07-27,00:00:00.00,7.7745,0,0,0,1133.05,0,0,0,14.3526,217.032,7.84472,0.0930526,7.84472,0.0930526,224.807,6.57806,866.315,498.117,498.117,559.138,105.018,422.192,187.312,215.787,195.451
666,2004-07-28,00:00:00.00,7.7745,0,0,0,1145.61,0,0,0,14.3526,217.032,7.95499,0.0930526,7.95499,0.0930526,224.807,6.57806,878.677,498.316,498.316,561.728,105.064,424.789,187.329,215.835,195.533
667,2004-07-29,00:00:00.00,7.7745,0,0,0,1147.2,0,0,0,14.3526,217.032,7.96984,0.0930526,7.96984,0.0930526,224.807,6.57806,879.569,499.015,499.015,566.115,105.696,427.747,187.399,215.854,195.615
668,2004-07-30,00:00:00.00,7.7745,0,0,0,1147.2,0,0,0,14.3526,217.032,7.96984,0.0930526,7.96984,0.0930526,224.807,6.57806,879.569,499.015,499.015,567.517,105.709,427.761,187.417,215.858,195.695
669,2004-07-31,00:00:00.00,7.7745,0,0,0,1156.85,0,0,0,14.3526,217.032,8.04589,0.0930526,8.04589,0.0930526,224.807,6.57806,889.171,499.068,499.068,571.342,105.723,429.429,187.434,215.866,195.771
670,2004-08-01,00:00:00.00,7.7745,0,0,0,1182.96,0,0,0,14.3526,217.032,8.29133,0.0930526,8.29133,0.0930526,224.807,6.57806,913.086,501.263,501.263,575.439,105.944,433.385,188.319,216.393,195.883
671,2004-08-02,00:00:00.00,7.7745,0,0,0,1182.96,0,0,0,14.3526,217.032,8.29133,0.0930526,8.29133,0.0930526,224.807,6.57806,913.086,501.263,501.263,579.785,106.157,436.293,188.713,216.393,196.008
672,2004-08-03,00:00:00.00,7.7745,0,0,0,1190.91,0,0,0,14.3526,217.032,8.35694,0.0930526,8.35694,0.0930526,224.807,6.57806,918.293,503.999,503.999,584.495,106.541,440.82,189.643,216.499,196.168
673,2004-08-04,00:00:00.00,7.7745,0,0,0,1191.53,0,0,0,14.3526,217.032,8.36162,0.0930526,8.36162,0.0930526,224.807,6.57806,918.746,504.173,504.173,588.343,107.182,443.731,190.484,216.499,196.358
674,2004-08-05,00:00:00.00,7.7745,0,0,0,1193.26,0,0,0,14.3526,217.032,8.3773,0.0930526,8.3773,0.0930526,224.807,6.57806,920.011,504.638,504.638,590.951,107.637,446.024,190.501,216.499,196.54
675,2004-08-06,00:00:00.00,7.7745,0,0,0,1193.39,0,0,0,14.3526,217.032,8.3785,0.0930526,8.3785,0.0930526,224.807,6.57806,920.121,504.656,504.656,591.508,107.656,446.198,190.501,216.499,196.714
676,2004-08-07,00:00:00.00,7.7745,0,0,0,1193.39,0,0,0,14.3526,217.032,8.3785,0.0930526,8.3785,0.0930526,224.807,6.57806,920.121,504.656,504.656,591.567,107.656,446.208,190.501,216.499,196.881
677,2004-08-08,00:00:00.00,7.7745,0,0,0,1193.39,0,0,0,14.3526,217.032,8.3785,0.0930526,8.3785,0.0930526,224.807,6.57806,920.121,504.656,504.656,591.569,107.656,446.208,190.501,216.499,197.04
678,2004-08-09,00:00:00.00,7.7745,0,0,0,1193.39,0,0,0,14.3526,217.032,8.3785,0.0930526,8.3785,0.0930526,224.807,6.57806,920.121,504.656,504.656,591.569,107.656,446.208,190.501,216.499,197.192
679,2004-08-10,00:00:00.00,7.7745,0,0,0,1193.79,0,0,0,14.3526,217.032,8.38137,0.0930526,8.38137,0.0930526,224.807,6.57806,920.52,504.656,504.656,591.968,107.656,446.208,190.501,216.499,197.338
680,2004-08-11,00:00:00.00,7.7745,0,0,0,1194.04,0,0,0,14.3526,217.032,8.38381,0.0930526,8.38381,0.0930526,224.807,6.57806,920.765,504.659,504.659,592.156,107.659,446.253,190.501,216.499,197.477
681,2004-08-12,00:00:00.00,7.7745,0,0,0,1199.33,0,0,0,14.3526,217.032,8.43042,0.0930526,8.43042,0.0930526,224.807,6.57806,925.947,504.768,504.768,595.227,107.714,447.782,190.518,216.503,197.611
682,2004-08-13,00:00:00.00,7.7745,0,0,0,1199.51,0,0,0,14.3526,217.032,8.43215,0.0930526,8.43215,0.0930526,224.807,6.57806,926.103,504.79,504.79,595.835,107.747,447.957,190.536,216.503,197.74
683,2004-08-14,00:00:00.00,7.7745,0,0,0,1203,0,0,0,14.3526,217.032,8.46335,0.0930526,8.46335,0.0930526,224.807,6.57806,929.47,504.918,504.918,598.205,107.843,448.77,190.553,216.504,197.863
684,2004-08-15,00:00:00.00,7.7745,0,0,0,1203,0,0,0,14.3526,217.032,8.46335,0.0930526,8.46335,0.0930526,224.807,6.57806,929.47,504.918,504.918,598.493,107.857,448.824,190.558,216.504,197.982
685,2004-08-16,00:00:00.00,7.7745,0,0,0,1203,0,0,0,14.3526,217.032,8.46335,0.0930526,8.46335,0.0930526,224.807,6.57806,929.47,504.918,504.918,598.502,107.857,448.824,190.558,216.504,198.095
686,2004-08-17,00:00:00.00,7.7745,0,0,0,1203,0,0,0,14.3526,217.032,8.46335,0.0930526,8.46335,0.0930526,224.807,6.57806,929.47,504.918,504.918,598.502,107.857,448.824,190.558,216.504,198.204
687,2004-08-18,00:00:00.00,7.7745,0,0,0,1203.35,0,0,0,14.3526,217.032,8.46588,0.0930526,8.46588,0.0930526,224.807,6.57806,929.816,504.918,504.918,598.835,107.857,448.837,190.558,216.504,198.307
688,2004-08-19,00:00:00.00,7.7745,0,0,0,1203.67,0,0,0,14.3526,217.032,8.46872,0.0930526,8.46872,0.0930526,224.807,6.57806,930.128,504.923,504.923,599.062,107.862,448.903,190.558,216.504,198.406
689,2004-08-20,00:00:00.00,7.7745,0,0,0,1203.67,0,0,0,14.3526,217.032,8.46872,0.0930526,8.46872,0.0930526,224.807,6.57806,930.128,504.923,504.923,599.081,107.862,448.907,190.558,216.504,198.501
690,2004-08-21,00:00:00.00,7.7745,0,0,0,1203.74,0,0,0,14.3526,217.032,8.46924,0.0930526,8.46924,0.0930526,224.807,6.57806,930.199,504.923,504.923,599.13,107.862,448.923,190.558,216.504,198.592
691,2004-08-22,00:00:00.00,7.7745,0,0,0,1203.74,0,0,0,14.3526,217.032,8.46924,0.0930526,8.46924,0.0930526,224.807,6.57806,930.199,504.923,504.923,599.135,107.862,448.925,190.558,216.504,198.678
692,2004-08-23,00:00:00.00,7.7745,0,0,0,1203.74,0,0,0,14.3526,217.032,8.46924,0.0930526,8.46924,0.0930526,224.807,6.57806,930.199,504.923,504.923,599.136,107.862,448.925,190.558,216.504,198.761
693,2004-08-24,00:00:00.00,7.7745,0,0,0,1203.86,0,0,0,14.3526,217.032,8.47044,0.0930526,8.47044,0.0930526,224.807,6.57806,930.324,504.926,504.926,599.235,107.864,448.947,190.558,216.504,198.84
694,2004-08-25,00:00:00.00,7.7745,0,0,0,1203.86,0,0,0,14.3526,217.032,8.47044,0.0930526,8.47044,0.0930526,224.807,6.57806,930.324,504.926,504.926,599.239,107.864,448.948,190.558,216.504,198.915
695,2004-08-26,00:00:00.00,7.7745,0,0,0,1204.87,0,0,0,14.3526,217.032,8.47864,0.0930526,8.47864,0.0930526,224.807,6.57806,931.328,504.928,504.928,600.177,107.867,449.017,190.558,216.504,198.988
696,2004-08-27,00:00:00.00,7.7745,0,0,0,1212.15,0,0,0,14.3526,217.032,8.54749,0.0930526,8.54749,0.0930526,224.807,6.57806,938.462,505.074,505.074,601.675,107.893,450.521,190.575,216.531,199.058
697,2004-08-28,00:00:00.00,7.7745,0,0,0,1214.37,0,0,0,14.3526,217.032,8.56431,0.0930526,8.56431,0.0930526,224.807,6.57806,940.54,505.214,505.214,605.048,108.042,452.797,190.593,216.537,199.125
698,2004-08-29,00:00:00.00,7.7745,0,0,0,1224.91,0,0,0,14.3526,217.032,8.66192,0.0930526,8.66192,0.0930526,224.807,6.57806,949.687,506.608,506.608,607.767,108.616,455.155,191.261,216.634,199.219
699,2004-08-30,00:00:00.00,7.7745,0,0,0,1243.34,0,0,0,14.3526,217.032,8.80864,0.0930526,8.80864,0.0930526,224.807,6.57806,964.439,510.281,510.281,609.776,109.199,457.17,192.648,216.838,199.37
700,2004-08-31,00:00:00.00,7.7745,0,0,0,1243.34,0,0,0,14.3526,217.032,8.80864,0.0930526,8.80864,0.0930526,224.807,6.57806,964.439,510.281,510.281,612.862,109.878,460.262,193.499,216.85,199.552
701,2004-09-01,00:00:00.00,7.7745,0,0,0,1243.46,0,0,0,14.3526,217.032,8.80984,0.0930526,8.80984,0.0930526,224.807,6.57806,964.523,510.325,510.325,616.614,109.933,462.559,193.517,216.852,199.726
702,2004-09-02,00:00:00.00,7.7745,0,0,0,1243.46,0,0,0,14.3526,217.032,8.80984,0.0930526,8.80984,0.0930526,224.807,6.57806,964.523,510.325,510.325,617.835,109.946,463.675,193.527,216.852,199.893
