,SubBasin:,30,36,39,43,
time,day,mean,mean,mean,mean,
101,2003-01-09,49.4115,7.5088,1.5,1.5,
102,2003-01-10,61.0821,9.21972,1.5,1.5,
103,2003-01-11,65.8821,10.0172,1.5,1.5,
104,2003-01-12,67.4821,11.5124,1.5,1.5,
105,2003-01-13,69.6821,13.4063,1.5,1.5,
106,2003-01-14,76.4821,14.5028,1.5,1.5,
107,2003-01-15,80.4821,15.0012,1.5,1.5,
108,2003-01-16,81.8821,15.0012,1.5,1.5,
109,2003-01-17,81.8821,15.0012,1.5,1.5,
110,2003-01-18,83.4821,15.3601,1.5,1.5,
111,2003-01-19,88.4821,16.0578,1.5,1.5,
112,2003-01-20,92.6821,16.6559,1.5,1.5,
113,2003-01-21,93.6821,16.8553,1.5,1.5,
114,2003-01-22,96.0821,17.254,1.5,1.5,
115,2003-01-23,98.4821,17.8521,1.5,1.5,
116,2003-01-24,101.282,18.4502,1.5,1.5,
117,2003-01-25,108.082,19.5466,1.5,1.5,
118,2003-01-26,108.082,19.5466,1.5,1.5,
119,2003-01-27,109.482,19.746,1.5,1.5,
120,2003-01-28,112.682,20.5434,1.5,1.5,
121,2003-01-29,113.082,20.5434,1.5,1.5,
122,2003-01-30,113.082,20.5434,1.5,1.5,
123,2003-01-31,113.082,21.184,2.3,2.3,
124,2003-02-01,113.082,19.288,0.0679111,0.0614937,
125,2003-02-02,113.082,19.3708,0.171307,0.164568,
126,2003-02-03,125.482,24.8267,7.67131,7.66457,
127,2003-02-04,133.482,33.0531,14.7713,14.7646,
128,2003-02-05,138.082,33.5388,14.7713,14.7646,
