#  parameters for each algorithm
# algorithm name | algorithm type | parameter name | parameter class

ROUTE_PLUG_FLOW RoutingMethod MANNINGS_N SUBBASIN
ROUTE_PLUG_FLOW RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_STORAGE_COEFF RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_STORAGE_COEFF RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_MUSKINGUM RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_MUSKINGUM RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_MUSKINGUM_LAGGED RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_MUSKINGUM_LAGGED RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_MUSKINGUM_CUNGE RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_MUSKINGUM_CUNGE RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_HYDROLOGIC RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_HYDROLOGIC RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_TVD RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_TVD RoutingMethod CHANNEL_GEOM SUBBASIN
ROUTE_GAMMA_CONVOLUTION CatchmentRoute TIME_TO_PEAK SUBBASIN
ROUTE_GAMMA_CONVOLUTION CatchmentRoute GAMMA_SHAPE  SUBBASIN
ROUTE_TRI_CONVOLUTION CatchmentRoute TIME_CONC SUBBASIN
ROUTE_TRI_CONVOLUTION CatchmentRoute TIME_TO_PEAK SUBBASIN
ROUTE_RESERVOIR_SERIES CatchmentRoute NUM_RESERVOIRS SUBBASIN
ROUTE_RESERVOIR_SERIES CatchmentRoute RES_CONSTANT SUBBASIN
ROUTE_EXPONENTIAL CatchmentRoute RES_CONSTANT SUBBASIN

ORDERED_SERIES NumericalMethod
EULER NumericalMethod
INTERP_FROM_FILE InterpolationMethod gaugeweights.txt
INTERP_AVERAGE_ALL InterpolationMethod
INTERP_NEAREST_NEIGHBOR InterpolationMethod
INTERP_INVERSE_DISTANCE InterpolationMethod
INTERP_INVERSE_DISTANCE_ELEVATION InterpolationMethod
ROUTE_NONE RoutingMethod
ROUTE_DIFFUSIVE_WAVE RoutingMethod
ROUTE_DUMP CatchmentRoute
