,SubBasin:,30,36,39,43,
time,day,maximum,maximum,maximum,maximum,
187,2003-04-05,2,0.0800639,0.1,0.1,
188,2003-04-06,0,9.04722,11.3,11.3,
189,2003-04-07,2.4,1.79425,0,0,
190,2003-04-08,0,2.40192,3,3,
191,2003-04-09,0,8.32664,10.4,10.4,
192,2003-04-10,0,0,0,0,
193,2003-04-11,0,0,0,0,
194,2003-04-12,0,0,0,0,
195,2003-04-13,0,0,0,0,
196,2003-04-14,0,0,0,0,
197,2003-04-15,0,0,0,0,
198,2003-04-16,0,0,0,0,
199,2003-04-17,1,0,0,0,
200,2003-04-18,2.4,1.47974,1.4,1.4,
201,2003-04-19,0,0,0,0,
202,2003-04-20,0.4,2.92121,3.3,3.3,
203,2003-04-21,3.8,2.05853,1.6,1.6,
204,2003-04-22,0.6,0.880703,1.1,1.1,
205,2003-04-23,0,0,0,0,
206,2003-04-24,0,0,0,0,
207,2003-04-25,0,0,0,0,
208,2003-04-26,0,0,0,0,
209,2003-04-27,0,0,0,0,
210,2003-04-28,0,0,0,0,
211,2003-04-29,0,0,0,0,
212,2003-04-30,16.4,6.94895,3.5,3.5,
213,2003-05-01,9.4,19.9266,22,22,
214,2003-05-02,0,7.12568,8.9,8.9,
215,2003-05-03,0,0,0,0,
216,2003-05-04,0,0,0,0,
217,2003-05-05,21.6,19.956,18.7,18.7,
218,2003-05-06,0,0,0,0,
219,2003-05-07,0.8,0,0,0,
220,2003-05-08,0,0,0,0,
221,2003-05-09,0,0.797445,0,0,
222,2003-05-10,17.8,4.58691,0.5,0.5,
223,2003-05-11,13.4,15.1177,14.4,14.4,
224,2003-05-12,6.4,6.47879,6.1,6.1,
225,2003-05-13,0.6,0.399042,0.1,0.1,
226,2003-05-14,0,0,0,0,
227,2003-05-15,0,0,0,0,
228,2003-05-16,1,5.91994,5.9,5.9,
229,2003-05-17,0,0,0,0,
230,2003-05-18,0,0,0,0,
231,2003-05-19,0,0,0,0,
232,2003-05-20,7.6,11.3206,11.5,11.5,
233,2003-05-21,0,0,0,0,
234,2003-05-22,0,0,0,0,
235,2003-05-23,22.6,20.7174,19.9,19.9,
236,2003-05-24,0,3.92313,4.9,4.9,
237,2003-05-25,0,0.0800639,0.1,0.1,
238,2003-05-26,0,0.199361,0,0,
239,2003-05-27,7,6.36428,7.7,7.7,
240,2003-05-28,0,0.0800639,0.1,0.1,
241,2003-05-29,0,0,0,0,
242,2003-05-30,2.4,0.399681,0.3,0.3,
243,2003-05-31,0,1.28102,1.6,1.6,
244,2003-06-01,0,0,0,0,
245,2003-06-02,0,0,0,0,
246,2003-06-03,0,0,0,0,
247,2003-06-04,10.6,8.07847,7.6,7.6,
248,2003-06-05,1.6,1.76045,1.9,1.9,
249,2003-06-06,0.6,0.199681,0.1,0.1,
250,2003-06-07,0,0.0800639,0.1,0.1,
251,2003-06-08,8,6.67591,5.4,5.4,
252,2003-06-09,1,1.52121,1.9,1.9,
253,2003-06-10,0.6,0.160128,0.2,0.2,
254,2003-06-11,0,0.0800639,0.1,0.1,
255,2003-06-12,7,8.1161,6.9,6.9,
256,2003-06-13,0.6,0.800639,1,1,
257,2003-06-14,0,0.0800639,0.1,0.1,
258,2003-06-15,0,0,0,0,
259,2003-06-16,0,0,0,0,
260,2003-06-17,0,0,0,0,
261,2003-06-18,11.2,7.19393,5.3,5.3,
262,2003-06-19,0,2.64211,3.3,3.3,
263,2003-06-20,0,0,0,0,
264,2003-06-21,0,0,0,0,
265,2003-06-22,0,0,0,0,
266,2003-06-23,0,0,0,0,
267,2003-06-24,0,0,0,0,
268,2003-06-25,0,0,0,0,
269,2003-06-26,10.6,4.7177,4,4,
270,2003-06-27,0,0,0,0,
271,2003-06-28,4.2,1.23604,0,0,
272,2003-06-29,2,2.47847,2,2,
273,2003-06-30,0,0.0800639,0.1,0.1,
274,2003-07-01,0,0,0,0,
275,2003-07-02,0,0,0,0,
