time,date,hour,precip [mm/day],Sub36 [m3/s],Sub36 (observed) [m3/s],Sub43 [m3/s],Sub43 (observed) [m3/s]
0,2002-10-01,00:00:00.00,---,5.96354, ,11.2505, 
1,2002-10-02,00:00:00.00,3.46869,11.9643,0.801,18.5907,3.07
2,2002-10-03,00:00:00.00,1.18918,15.437,0.828,25.7443,2.99
3,2002-10-04,00:00:00.00,2.08326,8.76948,0.86,18.6861,3.06
4,2002-10-05,00:00:00.00,6.47431,4.66501,0.903,9.82648,2.93
5,2002-10-06,00:00:00.00,0.125591,4.20829,1.04,7.90952,3.15
6,2002-10-07,00:00:00.00,0.841207,3.71063,1.03,7.40493,3.21
7,2002-10-08,00:00:00.00,1.53557,3.57954,0.837,6.73661,3.08
8,2002-10-09,00:00:00.00,0.0642942,3.39854,0.641,6.51566,3.02
9,2002-10-10,00:00:00.00,0,3.25977,0.512,6.21329,2.67
10,2002-10-11,00:00:00.00,0,3.11135,0.382,5.93559,2.54
11,2002-10-12,00:00:00.00,0.14582,2.97675,0.377,5.68291,2.52
12,2002-10-13,00:00:00.00,1.1653,2.8447,0.403,5.42541,2.87
13,2002-10-14,00:00:00.00,0.91735,2.72002,0.437,5.19263,2.67
14,2002-10-15,00:00:00.00,0,2.6001,0.405,4.96167,2.56
15,2002-10-16,00:00:00.00,0,2.4858,0.399,4.74558,2.56
16,2002-10-17,00:00:00.00,0,2.37637,0.42,4.53555,2.59
17,2002-10-18,00:00:00.00,0.576301,2.27183,0.432,4.33666,2.78
18,2002-10-19,00:00:00.00,11.4375,2.20413,0.448,4.24379,2.65
19,2002-10-20,00:00:00.00,4.63235,2.27266,0.607,4.40972,3.92
20,2002-10-21,00:00:00.00,0.251183,2.33632,0.741,4.52458,3.81
21,2002-10-22,00:00:00.00,1.15551,2.31222,0.634,4.35524,3.26
22,2002-10-23,00:00:00.00,2.26664,2.42965,0.501,4.25494,3.49
23,2002-10-24,00:00:00.00,0,2.53934,0.486,4.30223,3.21
24,2002-10-25,00:00:00.00,0,2.43137,0.475,4.21763,3.07
25,2002-10-26,00:00:00.00,9.44495,2.60488,0.489,4.35536,2.95
26,2002-10-27,00:00:00.00,0.447062,2.88,0.551,4.74045,3.37
27,2002-10-28,00:00:00.00,0.448561,2.72972,0.669,4.67261,3.73
28,2002-10-29,00:00:00.00,0,2.55068,0.574,4.32116,3.78
29,2002-10-30,00:00:00.00,0,2.4556,0.53,4.11037,3.67
30,2002-10-31,00:00:00.00,0,2.33961,0.498,3.94452,3.32
31,2002-11-01,00:00:00.00,5.50081,2.25251,0.408,3.76873,3.21
32,2002-11-02,00:00:00.00,4.28381,2.17969,0.606,3.6284,3.31
33,2002-11-03,00:00:00.00,1.58937,2.10087,0.444,3.49228,3.53
34,2002-11-04,00:00:00.00,0,2.02011,0.479,3.35438,3.63
35,2002-11-05,00:00:00.00,0,2.07377,0.538,3.29319,3.5
36,2002-11-06,00:00:00.00,1.56572,2.23315,0.725,3.36626,3.37
37,2002-11-07,00:00:00.00,4.1262,2.54762,0.703,3.70394,3.57
38,2002-11-08,00:00:00.00,0,2.80219,0.589,4.11867,4.01
39,2002-11-09,00:00:00.00,0,2.75529,0.89,4.171,3.8
40,2002-11-10,00:00:00.00,0.551577,2.77208,0.858,4.053,3.7
41,2002-11-11,00:00:00.00,32.2238,10.7099,1.52,14.7575,4.14
42,2002-11-12,00:00:00.00,1.00065,17.0355,6.07,27.0823,12.6
43,2002-11-13,00:00:00.00,0,10.4156,5.17,20.8434,15.1
44,2002-11-14,00:00:00.00,0,5.01649,3.56,9.75803,11
45,2002-11-15,00:00:00.00,3.04701,4.476,2.34,6.82629,8.81
46,2002-11-16,00:00:00.00,0.900118,4.34794,1.85,7.04557,7.61
47,2002-11-17,00:00:00.00,0.335519,4.17825,1.5,6.74503,6.33
48,2002-11-18,00:00:00.00,2.42852,3.89134,1.33,6.39199,5.71
49,2002-11-19,00:00:00.00,0.287658,3.77533,1.26,6.09381,5.38
50,2002-11-20,00:00:00.00,0.32011,3.76456,1.24,6.21299,5.19
51,2002-11-21,00:00:00.00,0,3.83628,1.13,6.51073,5.12
52,2002-11-22,00:00:00.00,1.96778,3.92858,1.02,6.54255,5.07
53,2002-11-23,00:00:00.00,0.547319,4.00221,1.12,6.54877,4.94
54,2002-11-24,00:00:00.00,0.0627957,3.85803,1.16,6.42078,4.83
55,2002-11-25,00:00:00.00,1.26321,3.81871,1.09,6.19973,4.65
56,2002-11-26,00:00:00.00,2.63962,3.84174,1,6.09882,4.7
57,2002-11-27,00:00:00.00,0.0642942,3.6871,1.04,5.94069,4.51
58,2002-11-28,00:00:00.00,0.631605,3.51136,0.98,5.65561,4.41
59,2002-11-29,00:00:00.00,1.6708,3.36125,0.95,5.40202,4.25
60,2002-11-30,00:00:00.00,1.58651,3.21565,0.93,5.17186,4.17
61,2002-12-01,00:00:00.00,2.92338,3.13642,0.94,4.97558,4.18
62,2002-12-02,00:00:00.00,4.17386,3.0341,0.96,4.81197,4.38
63,2002-12-03,00:00:00.00,0.125591,2.87711,0.91,4.60246,4.19
64,2002-12-04,00:00:00.00,0.627957,2.7475,0.87,4.3798,4.05
65,2002-12-05,00:00:00.00,0.382768,2.62658,0.83,4.18912,3.95
66,2002-12-06,00:00:00.00,0.993809,2.51098,0.8,4.00529,3.85
67,2002-12-07,00:00:00.00,0.168671,2.4005,0.77,3.82818,3.8
68,2002-12-08,00:00:00.00,0.0627957,2.29487,0.728,3.6604,3.74
69,2002-12-09,00:00:00.00,0.735331,2.1939,0.7,3.49891,3.68
70,2002-12-10,00:00:00.00,0,2.09736,0.67,3.3452,3.62
71,2002-12-11,00:00:00.00,0.0642942,2.00507,0.65,3.19787,3.56
72,2002-12-12,00:00:00.00,0.128588,1.91684,0.635,3.05723,3.5
73,2002-12-13,00:00:00.00,0,2.01083,0.629,3.14161,3.45
74,2002-12-14,00:00:00.00,0.189886,2.15833,0.639,3.39778,3.7
75,2002-12-15,00:00:00.00,0.0642942,2.20702,0.673,3.59533,4.3
76,2002-12-16,00:00:00.00,1.16235,2.23682,0.734,3.71882,4.4
77,2002-12-17,00:00:00.00,0,2.16796,0.679,3.66534,4.25
78,2002-12-18,00:00:00.00,0,2.06649,0.577,3.49778,4
79,2002-12-19,00:00:00.00,1.17953,1.97839,0.561,3.34128,3.96
80,2002-12-20,00:00:00.00,9.29276,6.20835,0.656,7.43663,4.4
81,2002-12-21,00:00:00.00,5.60848,14.3226,4.75,16.9948,9.4
82,2002-12-22,00:00:00.00,0.711632,14.301,15.8,20.7214,14
83,2002-12-23,00:00:00.00,0.882788,7.29063,7.74,13.8915,36
84,2002-12-24,00:00:00.00,1.15186,3.90407,4.25,7.12708,20
85,2002-12-25,00:00:00.00,1.20726,3.34878,3.03,5.59377,9
86,2002-12-26,00:00:00.00,0.579909,3.0521,2.63,5.35149,7.3
87,2002-12-27,00:00:00.00,0,2.9665,2.37,5.00574,6.5
88,2002-12-28,00:00:00.00,0,2.81372,2.24,4.84347,5.6
89,2002-12-29,00:00:00.00,0,2.70021,1.85,4.60799,5.1
90,2002-12-30,00:00:00.00,0.450059,2.57662,1.94,4.41041,5.05
91,2002-12-31,00:00:00.00,1.21892,2.56239,1.68,4.40544,5
92,2003-01-01,00:00:00.00,0.0642942,2.92254,2.48,4.69444,5.4
93,2003-01-02,00:00:00.00,0,3.18149,8.1,4.98807,6.7
94,2003-01-03,00:00:00.00,0.844854,2.95115,6.38,4.88835,11
95,2003-01-04,00:00:00.00,1.09951,2.74892,4.1,4.54199,16.2
96,2003-01-05,00:00:00.00,0.313979,2.64241,3,4.32008,10.3
97,2003-01-06,00:00:00.00,1.30714,2.51908,2.18,4.14874,8.6
98,2003-01-07,00:00:00.00,0.209927,2.41152,1.7,3.95576,7.5
99,2003-01-08,00:00:00.00,0.125591,2.30388,1.4,3.78623,6.3
100,2003-01-09,00:00:00.00,3.21471,2.38309,1.5,4.10181,8
101,2003-01-10,00:00:00.00,3.16591,3.33551,1.59,4.97794,7.4
102,2003-01-11,00:00:00.00,3.19016,4.07334,1.2,5.73974,7
103,2003-01-12,00:00:00.00,1.67942,3.3692,1.08,5.56401,6.6
104,2003-01-13,00:00:00.00,0.825463,2.77944,1,4.69468,6.3
105,2003-01-14,00:00:00.00,1.10001,2.69655,0.9,4.30936,6.1
106,2003-01-15,00:00:00.00,2.37199,2.55092,0.85,4.1967,5.85
107,2003-01-16,00:00:00.00,1.36361,2.45134,0.79,3.9777,5.65
108,2003-01-17,00:00:00.00,0.43957,2.33761,0.745,3.81421,5.45
109,2003-01-18,00:00:00.00,0,2.23747,0.715,3.64474,5.3
110,2003-01-19,00:00:00.00,0.579909,2.13776,0.68,3.48269,5.15
111,2003-01-20,00:00:00.00,1.72067,2.04428,0.645,3.33165,5
112,2003-01-21,00:00:00.00,1.44795,1.95405,0.615,3.18324,4.9
113,2003-01-22,00:00:00.00,0.357058,1.8682,0.59,3.04443,4.8
114,2003-01-23,00:00:00.00,0.839708,1.78593,0.57,2.90966,4.7
115,2003-01-24,00:00:00.00,0.882788,1.70738,0.545,2.78212,4.6
116,2003-01-25,00:00:00.00,1.00838,1.63224,0.525,2.65942,4.5
117,2003-01-26,00:00:00.00,2.37199,1.56042,0.505,2.54256,4.42
118,2003-01-27,00:00:00.00,0,1.49176,0.49,2.43059,4.35
119,2003-01-28,00:00:00.00,0.48265,1.42612,0.475,2.32369,4.27
120,2003-01-29,00:00:00.00,1.17705,1.36336,0.465,2.22142,4.2
121,2003-01-30,00:00:00.00,0.125591,1.30337,0.455,2.12368,4.15
122,2003-01-31,00:00:00.00,0,1.24602,0.445,2.03023,4.1
123,2003-02-01,00:00:00.00,0.514353,1.1912,0.44,1.9409,4.05
124,2003-02-02,00:00:00.00,1.99312,1.31964,0.5,2.35065,4.02
125,2003-02-03,00:00:00.00,0.0642942,1.3921,0.625,2.82514,4
126,2003-02-04,00:00:00.00,9.01696,1.36414,0.75,2.68772,4.4
127,2003-02-05,00:00:00.00,7.52905,1.34867,1.19,2.5322,6
128,2003-02-06,00:00:00.00,1.4443,1.24487,1.6,2.44065,8.3
129,2003-02-07,00:00:00.00,0.378273,1.18456,2,2.29141,8.85
130,2003-02-08,00:00:00.00,0.189886,1.13229,2.29,2.19481,9.3
131,2003-02-09,00:00:00.00,0.82364,1.08247,2.22,2.09959,8.9
132,2003-02-10,00:00:00.00,0.0642942,1.03484,2.13,2.0051,8.5
133,2003-02-11,00:00:00.00,0.927366,0.989302,1.97,1.91847,8.1
134,2003-02-12,00:00:00.00,0.800276,0.94577,1.76,1.83305,7.6
135,2003-02-13,00:00:00.00,0.400138,0.904155,1.55,1.75297,7.25
136,2003-02-14,00:00:00.00,0.0714117,0.86437,1.45,1.67552,6.95
137,2003-02-15,00:00:00.00,0,0.826336,1.3,1.60196,6.65
138,2003-02-16,00:00:00.00,0,0.789976,1.2,1.53139,6.4
139,2003-02-17,00:00:00.00,0.188387,0.755215,1.13,1.46405,6.2
140,2003-02-18,00:00:00.00,0.73748,0.721984,1.09,1.3996,5.95
141,2003-02-19,00:00:00.00,0.442567,0.690215,1,1.33803,5.8
142,2003-02-20,00:00:00.00,0.0642942,0.659845,1.05,1.27915,6
143,2003-02-21,00:00:00.00,0,0.63081,1.11,1.22286,6.15
144,2003-02-22,00:00:00.00,0,0.660995,1.14,1.19917,6.45
145,2003-02-23,00:00:00.00,6.21019,0.722786,1.19,1.22723,6.8
146,2003-02-24,00:00:00.00,0,0.715153,1.08,1.23301,6.4
147,2003-02-25,00:00:00.00,1.76254,0.678978,1,1.18007,6.15
148,2003-02-26,00:00:00.00,0.0642942,0.65128,0.925,1.12417,5.95
149,2003-02-27,00:00:00.00,0.0642942,0.621614,0.86,1.07726,5.75
150,2003-02-28,00:00:00.00,0,0.594729,0.8,1.0287,5.55
151,2003-03-01,00:00:00.00,0,0.568343,0.76,0.983813,5.4
152,2003-03-02,00:00:00.00,0.988663,0.543435,0.66,0.940482,5.2
153,2003-03-03,00:00:00.00,1.22159,0.519477,0.62,0.899029,5
154,2003-03-04,00:00:00.00,0.443218,0.49664,0.58,0.859555,4.85
155,2003-03-05,00:00:00.00,4.43042,0.474777,0.55,0.821664,4.7
156,2003-03-06,00:00:00.00,0.590024,0.45389,0.52,0.785557,4.55
157,2003-03-07,00:00:00.00,1.86453,0.433916,0.49,0.750961,4.4
158,2003-03-08,00:00:00.00,0.171668,0.414824,0.465,0.717935,4.25
159,2003-03-09,00:00:00.00,1.37078,0.39657,0.445,0.686334,4.5
160,2003-03-10,00:00:00.00,0.188387,0.379121,0.425,0.65614,4.85
161,2003-03-11,00:00:00.00,0,0.362439,0.41,0.627265,4.73
162,2003-03-12,00:00:00.00,2.22528,0.346491,0.395,0.599666,4.55
163,2003-03-13,00:00:00.00,1.17916,0.331244,0.385,0.573279,4.41
164,2003-03-14,00:00:00.00,0.0642942,0.316669,0.38,0.548054,4.28
165,2003-03-15,00:00:00.00,0,0.302735,0.4,0.523938,4.21
166,2003-03-16,00:00:00.00,0,2.30671,0.5,3.32168,5.4
167,2003-03-17,00:00:00.00,0,20.4057,0.75,23.796,8.6
168,2003-03-18,00:00:00.00,0.0642942,67.8369,1.92,67.1631,12
169,2003-03-19,00:00:00.00,0.0642942,82.5927,19,94.5321,30
170,2003-03-20,00:00:00.00,0.541138,39.2262,46.2,66.8526,83
171,2003-03-21,00:00:00.00,1.28438,21.2579,47.7,27.473,83.5
172,2003-03-22,00:00:00.00,1.41985,35.7835,65.2,29.3499,89.1
173,2003-03-23,00:00:00.00,0.514353,35.7503,74.4,40.0268,99.4
174,2003-03-24,00:00:00.00,0.313979,33.8647,50.3,36.475,103
175,2003-03-25,00:00:00.00,0,62.0638,39.7,50.0346,69.7
176,2003-03-26,00:00:00.00,0.42154,98.1327,50.5,85.6324,63.9
177,2003-03-27,00:00:00.00,0,81.2506,41.6,94.7077,73.3
178,2003-03-28,00:00:00.00,0.313979,39.6459,23.7,59.1698,53.1
179,2003-03-29,00:00:00.00,7.22242,39.9672,15.9,36.8416,33.6
180,2003-03-30,00:00:00.00,10.1956,37.1156,25.1,40.9142,30.9
181,2003-03-31,00:00:00.00,0.378273,12.8359,28.4,26.5738,50.6
182,2003-04-01,00:00:00.00,1.20224,4.91578,12.2,7.43482,34.8
183,2003-04-02,00:00:00.00,1.64444,4.5655,8.15,5.64211,19.9
184,2003-04-03,00:00:00.00,0.385765,4.23622,7.46,6.03272,16.5
185,2003-04-04,00:00:00.00,2.27029,4.18989,7.67,5.36055,15.3
186,2003-04-05,00:00:00.00,1.32468,3.89032,7.18,5.38499,15.5
187,2003-04-06,00:00:00.00,0.692252,3.73784,5.44,4.95953,14.3
188,2003-04-07,00:00:00.00,7.26524,3.55573,4.78,4.80786,11.5
189,2003-04-08,00:00:00.00,1.14127,3.40693,4.17,4.56941,10.8
190,2003-04-09,00:00:00.00,1.92882,3.25348,3.11,4.37617,9.86
191,2003-04-10,00:00:00.00,6.68659,3.27402,3.36,4.71769,8.68
192,2003-04-11,00:00:00.00,0,5.36035,8.45,7.17001,10.2
193,2003-04-12,00:00:00.00,0,11.2666,41.3,13.2638,29.2
194,2003-04-13,00:00:00.00,0,11.286,41.9,16.3821,74.6
195,2003-04-14,00:00:00.00,0,6.07254,22.4,11.37,60.2
196,2003-04-15,00:00:00.00,0,4.42122,13,6.72826,33.7
197,2003-04-16,00:00:00.00,0,5.0422,9.7,6.69965,22.4
198,2003-04-17,00:00:00.00,0,5.7251,7.3,7.45485,17.8
199,2003-04-18,00:00:00.00,0.313979,4.59548,5.6,7.04732,14.7
200,2003-04-19,00:00:00.00,1.73121,3.88811,4.95,5.89938,12.4
201,2003-04-20,00:00:00.00,0,4.00148,4.7,5.56459,10.9
202,2003-04-21,00:00:00.00,2.30761,3.56772,4.54,5.4538,10
203,2003-04-22,00:00:00.00,2.38984,3.04584,4.07,4.81226,9.49
204,2003-04-23,00:00:00.00,0.895623,2.82441,3.85,4.38281,8.98
205,2003-04-24,00:00:00.00,0,2.66829,3.65,4.1688,8.41
206,2003-04-25,00:00:00.00,0,2.54638,3.1,3.96657,7.83
207,2003-04-26,00:00:00.00,0,2.43424,2.93,3.79156,7.41
208,2003-04-27,00:00:00.00,0,2.32711,2.65,3.62634,6.77
209,2003-04-28,00:00:00.00,0,2.22472,2.45,3.46537,6.39
210,2003-04-29,00:00:00.00,0,2.12683,2.3,3.31381,6.04
211,2003-04-30,00:00:00.00,0,2.03324,2.19,3.16745,5.65
212,2003-05-01,00:00:00.00,8.2956,1.94378,2.35,3.0334,5.38
213,2003-05-02,00:00:00.00,17.5958,2.41689,3,4.01224,6.85
214,2003-05-03,00:00:00.00,5.72218,3.13584,7.8,6.08832,11.3
215,2003-05-04,00:00:00.00,0,2.91843,8.1,6.29207,17.3
216,2003-05-05,00:00:00.00,0,2.47657,6,4.81845,15.1
217,2003-05-06,00:00:00.00,19.8819,2.42282,5,4.82337,12.7
218,2003-05-07,00:00:00.00,0,2.35356,20,5.13128,15.4
219,2003-05-08,00:00:00.00,0.251183,2.25956,19.2,4.42155,31.7
220,2003-05-09,00:00:00.00,0,2.15734,9.2,4.01417,23.7
221,2003-05-10,00:00:00.00,0.172319,2.06371,6.6,3.85429,15.4
222,2003-05-11,00:00:00.00,6.81496,1.98678,5.6,3.67525,12.6
223,2003-05-12,00:00:00.00,14.2411,2.95017,6.2,4.31547,11.3
224,2003-05-13,00:00:00.00,6.27604,4.73523,15.6,6.16269,12.7
225,2003-05-14,00:00:00.00,0.321609,4.70899,26.6,7.06603,25
226,2003-05-15,00:00:00.00,0,3.2806,15,5.79491,30.9
227,2003-05-16,00:00:00.00,0,2.61496,9.1,4.44651,19
228,2003-05-17,00:00:00.00,4.36581,2.47891,6.6,4.11433,14
229,2003-05-18,00:00:00.00,0,2.35643,5.2,3.97903,11.8
230,2003-05-19,00:00:00.00,0,2.25841,4.45,3.77045,10.4
231,2003-05-20,00:00:00.00,0,2.15641,4.2,3.60735,9.26
232,2003-05-21,00:00:00.00,10.2367,2.06274,4.05,3.58582,8.3
233,2003-05-22,00:00:00.00,0,1.97141,3.85,3.51948,8.3
234,2003-05-23,00:00:00.00,0,1.88493,3.62,3.24636,8.13
235,2003-05-24,00:00:00.00,20.9244,1.80186,3.4,3.58501,7.6
236,2003-05-25,00:00:00.00,3.15041,1.78889,23,4.02287,9.7
237,2003-05-26,00:00:00.00,0.0642942,1.77549,25.6,3.66022,37.3
238,2003-05-27,00:00:00.00,0.0430797,1.69604,11,3.22217,28.8
239,2003-05-28,00:00:00.00,7.19158,1.62097,8.5,3.08235,16
240,2003-05-29,00:00:00.00,0.0642942,1.54964,6.4,2.98219,13.9
241,2003-05-30,00:00:00.00,0,1.48146,4.5,2.79588,11
242,2003-05-31,00:00:00.00,0.980895,1.41627,4.1,2.64108,9.74
243,2003-06-01,00:00:00.00,1.02871,1.35395,3.7,2.52878,8.69
244,2003-06-02,00:00:00.00,0,1.29437,3.15,2.41688,7.58
245,2003-06-03,00:00:00.00,0,1.23742,2.75,2.31194,6.54
246,2003-06-04,00:00:00.00,0,1.18297,2.3,2.20963,5.83
247,2003-06-05,00:00:00.00,8.64533,1.13092,2.05,2.16011,5.51
248,2003-06-06,00:00:00.00,1.77565,1.08115,2.15,2.11382,5.67
249,2003-06-07,00:00:00.00,0.278529,1.03358,1.69,1.99484,5.53
250,2003-06-08,00:00:00.00,0.0642942,0.988102,1.63,1.87586,5.27
251,2003-06-09,00:00:00.00,6.49205,0.944623,1.55,1.80686,4.94
252,2003-06-10,00:00:00.00,1.53557,0.903058,1.85,1.74766,5.21
253,2003-06-11,00:00:00.00,0.316976,0.863321,2.19,1.66663,5.14
254,2003-06-12,00:00:00.00,0.0642942,0.825334,1.91,1.58556,5.13
255,2003-06-13,00:00:00.00,7.19418,0.789017,1.98,1.5514,5.01
256,2003-06-14,00:00:00.00,0.831329,0.754299,2.6,1.51339,5.51
257,2003-06-15,00:00:00.00,0.0642942,0.721108,2.84,1.42458,5.94
258,2003-06-16,00:00:00.00,0,0.689378,2.4,1.34669,5.78
259,2003-06-17,00:00:00.00,0,0.659044,1.97,1.28755,5.31
260,2003-06-18,00:00:00.00,0,0.630045,1.59,1.23032,4.76
261,2003-06-19,00:00:00.00,7.56173,0.602322,1.35,1.19314,4.44
262,2003-06-20,00:00:00.00,2.12171,0.575818,1.45,1.17252,4.42
263,2003-06-21,00:00:00.00,0,0.550481,1.94,1.12433,4.25
264,2003-06-22,00:00:00.00,0,0.526259,1.53,1.05731,4.37
265,2003-06-23,00:00:00.00,0,0.503102,1.17,1.00651,4.43
266,2003-06-24,00:00:00.00,0,0.480965,0.934,0.96284,3.89
267,2003-06-25,00:00:00.00,0,0.459801,0.768,0.920159,3.54
268,2003-06-26,00:00:00.00,0,0.439569,0.708,0.879821,3.37
269,2003-06-27,00:00:00.00,6.22735,0.420227,0.633,0.848179,3.13
270,2003-06-28,00:00:00.00,0,0.401736,0.603,0.817742,3.24
271,2003-06-29,00:00:00.00,1.5858,0.384059,0.592,0.779662,3.13
272,2003-06-30,00:00:00.00,2.10339,0.36716,0.617,0.746231,2.98
273,2003-07-01,00:00:00.00,0.0642942,0.351004,0.801,0.716551,2.86
274,2003-07-02,00:00:00.00,0,0.335559,1.45,0.685474,2.76
275,2003-07-03,00:00:00.00,0,0.320794,0.999,0.655284,2.77
276,2003-07-04,00:00:00.00,0,0.306678,0.843,0.626464,3.21
277,2003-07-05,00:00:00.00,0.0172319,0.293184,0.763,0.598891,2.91
278,2003-07-06,00:00:00.00,2.43283,0.280283,0.77,0.575986,2.75
279,2003-07-07,00:00:00.00,5.34643,0.26795,0.602,0.555356,2.86
280,2003-07-08,00:00:00.00,8.33295,0.25616,0.846,0.668076,3.05
281,2003-07-09,00:00:00.00,0.620229,0.244888,0.798,0.739492,3.17
282,2003-07-10,00:00:00.00,0.321471,0.234113,0.908,0.600911,3.28
283,2003-07-11,00:00:00.00,3.18464,0.223811,0.66,0.521777,2.99
284,2003-07-12,00:00:00.00,8.7808,0.217035,0.759,0.588687,3.16
285,2003-07-13,00:00:00.00,1.08578,0.213254,0.854,0.608242,3.1
286,2003-07-14,00:00:00.00,0.0772181,0.206751,0.765,0.515141,2.98
287,2003-07-15,00:00:00.00,0,0.197837,0.694,0.4549,2.75
288,2003-07-16,00:00:00.00,11.4739,0.189132,0.812,0.639963,2.76
289,2003-07-17,00:00:00.00,0.578647,0.18081,0.936,0.756211,2.87
290,2003-07-18,00:00:00.00,0.0627957,0.172854,0.942,0.553784,3.2
291,2003-07-19,00:00:00.00,0,0.165248,0.793,0.420071,3.1
292,2003-07-20,00:00:00.00,0,0.157977,0.719,0.394661,2.78
293,2003-07-21,00:00:00.00,3.25319,0.151025,0.723,0.37674,2.72
294,2003-07-22,00:00:00.00,5.89805,0.14438,0.812,0.42582,2.94
295,2003-07-23,00:00:00.00,0.0642942,0.138027,0.982,0.445851,3.53
296,2003-07-24,00:00:00.00,0,0.131953,1.07,0.380596,3.39
297,2003-07-25,00:00:00.00,0.00861593,0.126147,1.44,0.34109,3.15
298,2003-07-26,00:00:00.00,0,0.120597,0.985,0.327692,2.93
299,2003-07-27,00:00:00.00,1.3247,0.11529,0.929,0.311964,3.05
300,2003-07-28,00:00:00.00,0.125591,0.110217,0.699,0.298866,2.9
301,2003-07-29,00:00:00.00,0,0.105367,0.642,0.285413,2.68
302,2003-07-30,00:00:00.00,0,0.100731,0.648,0.272999,2.5
303,2003-07-31,00:00:00.00,0,0.0962986,0.628,0.260917,2.38
304,2003-08-01,00:00:00.00,2.75659,0.0920612,0.665,0.24947,2.36
305,2003-08-02,00:00:00.00,2.4724,0.0880104,0.619,0.238476,2.37
306,2003-08-03,00:00:00.00,2.93261,0.0841377,0.631,0.233364,2.94
307,2003-08-04,00:00:00.00,18.1345,0.139043,0.817,0.333742,3.82
308,2003-08-05,00:00:00.00,0.00861593,0.226508,3.83,0.450347,3.44
309,2003-08-06,00:00:00.00,4.79968,1.58175,4.33,1.13774,3.47
310,2003-08-07,00:00:00.00,2.47727,2.45495,3.65,2.34985,7.91
311,2003-08-08,00:00:00.00,2.31309,1.45844,3.48,2.22913,6.42
312,2003-08-09,00:00:00.00,0,0.901042,2.54,1.23311,5.73
313,2003-08-10,00:00:00.00,0.189886,0.840288,1.81,0.978247,5.67
314,2003-08-11,00:00:00.00,0,0.786983,1.35,0.978401,5.49
315,2003-08-12,00:00:00.00,10.8335,0.759125,4.15,0.98305,4.46
316,2003-08-13,00:00:00.00,3.27938,0.775729,14.9,1.04783,7.05
317,2003-08-14,00:00:00.00,0.0642942,0.827643,15.9,1.01272,19.3
318,2003-08-15,00:00:00.00,0,0.813588,7.14,0.982691,18.2
